Number;Start time in milliseconds;End time in milliseconds;"Text"
309;1894649;1897451;"The gods gave me
one blessing."
310;1897485;1899386;"( Door opens )"
311;1902256;1904858;"- Don't get up.
- My Lord."
312;1904892;1907227;"Should I explain to you
the meaning of a closed door"
313;1907261;1910998;"- in a whorehouse, brother?
- You have much to teach me, no doubt,"
314;1911032;1914668;"but our sister craves
your attention."
315;1914702;1916804;"She has odd cravings,
our sister."
316;1916838;1918972;"A family trait."
317;1919007;1921875;"Now the Starks are
feasting us at sundown."
318;1921910;1924111;"Don't leave me alone
with these people."
319;1924146;1926514;"<i>I'm sorry, I've begun</i>
<i>the feast a bit early.</i>"
320;1926548;1929917;"And this is the first
of many courses."
321;1929951;1932153;"I thought
you might say that."
322;1932187;1934588;"But since
we're short on time..."
323;1934622;1936523;"Come on, girls."
324;1936558;1939225;"( Giggling )"
325;1941595;1943897;"See you at sundown."
326;1943931;1946499;"Tyrion:
<i>Close the door!</i>"
327;1958647;1961649;"Did you have to bury her
in a place like this?"
328;1963386;1965687;"<i>She should be</i>
<i>on a hill somewhere</i>"
329;1965722;1968324;"with the sun
and the clouds above her."
330;1968358;1970326;"<i>She was my sister.</i>"
331;1970360;1973128;"This is where
she belongs."
332;1973163;1975698;"She belonged with me."
333;1981071;1984340;"In my dreams,
I kill him every night."
334;1985875;1988343;"It's done, your Grace."
335;1988378;1991013;"The Targaryens are gone."
336;1993016;1995317;"Not all of them."
337;1996819;1998754;"<i>( Gull cawing )</i>"
338;2006095;2008196;"Man:
<i>Daenerys!</i>"
339;2011267;2013134;"Daenerys."
340;2013169;2015203;"There's our bride-to-be."
341;2016105;2019240;"Look, a gift
from Illyrio."
342;2020309;2022076;"Touch it."
343;2022111;2024312;"Go on,
feel the fabric."
344;2028951;2031118;"Mmm."
345;2032286;2035089;"Isn't he a gracious host?"
346;2037259;2039294;"We've been his guests
for over a year"
347;2039328;2041296;"and he's never
asked us for anything."
348;2041330;2043065;"Illyrio's no fool."
349;2043099;2045434;"He knows I won't
forget my friends"
350;2045468;2047503;"when I come
into my throne."
351;2051640;2054308;"You still slouch."
352;2057946;2060347;"Let them see."
353;2062984;2065885;"You have
a woman's body now."
354;2068722;2070523;"( Sighs )"
355;2083436;2086405;"I need you to be
perfect today."
356;2087807;2089708;"Can you do that for me?"
357;2093113;2095815;"You don't want to wake
the dragon, do you?"
358;2097252;2098852;"No."
359;2105794;2108863;"When they write the history
of my reign, sweet sister,"
360;2108897;2111131;"they will say
it began today."
361;2134054;2136523;"It's too hot, my lady."
362;2147002;2149436;"<i>( Gulls cawing )</i>"
363;2157210;2159512;"Where is he?"
364;2159546;2162180;"The Dothraki are not known
for their punctuality."
365;2175395;2179566;"( Illyrio speaking Dothraki )
Athchomar chomakaan, Khal vezhven."
366;2179600;2181535;"May I present
my honored guests?"
367;2181569;2185273;"<i>Viserys</i>
<i>of House Targaryen,</i>"
368;2185307;2187008;"<i>the third of his name,</i>"
369;2187043;2190378;"<i>the rightful king of the Andals</i>
<i>and the first men,</i>"
370;2190412;2192146;"<i>and his sister</i>"
371;2192181;2194816;"<i>Daenerys</i>
<i>of House Targaryen.</i>"
372;2195818;2197686;"( Speaking Dothraki )"
373;2197720;2200188;"Do you see
how long his hair is?"
374;2200223;2202924;"<i>When Dothraki are</i>
<i>defeated in combat,</i>"
375;2202958;2206894;"<i>they cut off their braids</i>
<i>so the whole world can</i>
<i>see their shame.</i>"
376;2206928;2210897;"Khal Drogo has
never been defeated."
377;2212099;2213900;"He's a savage, of course,"
378;2213934;2216269;"<i>but one of the finest</i>
<i>killers alive.</i>"
379;2217538;2219672;"And you will be his Queen."
380;2219706;2222341;"Come forward, my dear."
381;2262415;2264083;"Where is he going?!"
382;2264117;2266652;"- The ceremony is over.
- But he didn't say anything."
383;2266687;2269121;"- Did he like her?
- Trust me, your Grace,"
384;2269156;2271657;"if he didn't like her,
we'd know."
385;2274661;2276929;"It won't be
long now."
386;2276963;2278864;"Soon you will cross
the Narrow Sea"
387;2278898;2281333;"and take back
your father's throne."
388;2281367;2284268;"The people
drink secret toasts"
389;2284303;2286003;"to your health."
390;2286037;2288372;"They cry out
for their true king."
391;2291977;2293845;"When will they
be married?"
392;2293879;2297416;"Soon.
The Dothraki never stay still for long."
393;2297450;2299985;"Is it true they lie
with their horses?"
394;2300020;2303089;"I wouldn't ask
Khal Drogo."
395;2303124;2304991;"Do you take me
for a fool?"
396;2305025;2306860;"I take you
for a King."
397;2306894;2310097;"Kings lack the caution
of common men."
398;2310131;2312499;"My apologies if
I've given offense."
399;2312533;2314902;"I know how to play
a man like Drogo."
400;2314936;2317838;"I give him a Queen
and he gives me an army."
401;2317873;2320742;"I don't want
to be his Queen."
402;2325115;2327217;"I want to go home."
403;2328118;2329585;"So do I."
404;2329620;2332755;"I want us both
to go home,"
405;2332790;2335090;"but they took it from us."
406;2335125;2336892;"So tell me, sweet sister,"
407;2336927;2339128;"how do we go home?"
408;2340964;2342531;"I don't know."
409;2342566;2345568;"We go home with an army."
410;2347204;2350406;"With Khal Drogo's army."
411;2350441;2353443;"I would let
his whole tribe fuck you--"
412;2353477;2356680;"all 40,000 men
and their horses too"
413;2356714;2358582;"if that's what it took."
414;2365056;2367290;"( Kisses )"
415;2375698;2378133;"Do you think Joffrey
will like me?"
416;2378167;2380702;"What if he thinks
I'm ugly?"
417;2380737;2384407;"Then he is the stupidest prince
that ever lived."
418;2386743;2389311;"He's so handsome."
419;2389346;2392047;"When would we be married?
Soon? Or do we have to wait?"
420;2392082;2395184;"Hush now.
Your father hasn't even said yes."
421;2395218;2397052;"Why would he say no?"
422;2397087;2400356;"He'd be the second most powerful man
in the kingdoms."
423;2400390;2402958;"He'd have to leave home."
424;2402993;2405928;"He'd have to leave me."
425;2405962;2408965;"And so would you."
426;2408999;2411600;"You left your home
to come here."
427;2411635;2414436;"And I'd be Queen someday."
428;2415505;2417073;"Please make father
say yes!"
429;2417107;2418974;"- Sansa--
- Please please!"
430;2419008;2421944;"It's the only thing
I ever wanted."
431;2425782;2428584;"<i>( Music playing,</i>
<i>people chattering )</i>"
432;2432222;2434156;"( Laughter )"
433;2435659;2437927;"Fill that up!
Boys, Rodrik, come on."
434;2437961;2440229;"<i>Come on!</i>"
435;2458715;2461483;"Is he dead yet?"
436;2465255;2467723;"Uncle Benjen."
437;2467758;2469525;"( Laughs )"
438;2469560;2472028;"You got bigger."
439;2472063;2475966;"Rode all day.
Didn't want to leave you
alone with the Lannisters."
440;2476000;2477935;"Why aren't you
at the feast?"
441;2477970;2481005;"Lady Stark thought
it might insult the royal family"
442;2481040;2483241;"to seat a bastard
in their midst."
443;2483276;2485978;"Well, you're always
welcome on the wall."
444;2486012;2488213;"No bastard was ever
refused a seat there."
445;2488248;2489948;"So take me with you
when you go back."
446;2489983;2492851;"- Jon--
- Father will let me if you ask him."
447;2492885;2495086;"I know he will."
448;2497556;2499790;"The wall isn't
going anywhere."
449;2499825;2501158;"I'm ready"
450;2501192;2502526;"to swear your oath."
451;2502560;2505262;"You don't understand
what you'd be giving up."
452;2505296;2507764;"We have no families."
453;2507798;2511135;"- None of us will ever father sons--
- I don't care about that!"
454;2512337;2514805;"You might, if you knew
what it meant."
455;2516442;2518076;"<i>( Rattles )</i>"
456;2518110;2520345;"I'd better get inside,"
457;2520379;2523048;"rescue your father
from his guests."
458;2526019;2528087;"We'll talk later."
459;2535928;2538729;"Tyrion:
<i>Your Uncle's in</i>
<i>The Night's Watch.</i>"
460;2541700;2544034;"What are you doing
back there?"
461;2544069;2547237;"Preparing for a night
with your family."
462;2551709;2553810;"I've always wanted
to see the wall."
463;2553844;2555579;"You're Tyrion Lannister,"
464;2555613;2557214;"the Queen's brother?"
465;2557248;2559449;"My greatest
accomplishment."
466;2559484;2563253;"And you-- you're Ned Stark's
bastard, aren't you?"
467;2566657;2568892;"Did I offend you?
Sorry."
468;2570861;2573463;"You are
the bastard though."
469;2574698;2577100;"<i>Lord Eddard Stark</i>
<i>is my father.</i>"
470;2578469;2580970;"And Lady Stark
is not your mother,"
471;2581004;2583272;"making you the bastard."
472;2585475;2588277;"Let me give you
some advice, bastard."
473;2589445;2591246;"Never forget
what you are."
474;2591281;2593215;"The rest of the world
will not."
475;2593249;2595818;"Wear it like armor"
476;2595853;2598388;"and it can never
be used to hurt you."
477;2600024;2603027;"What the hell do you know about
being a bastard?"
478;2604329;2607732;"All dwarves are bastards
in their father's eyes."
479;2623216;2626018;"( Music playing,
chattering )"
480;2629222;2633592;"You at a feast--
it's like a bear in a trap."
481;2635428;2637762;"The boy I beheaded--"
482;2637797;2640365;"- did you know him?
- Of course I did."
483;2640399;2642501;"Just a lad."
484;2642535;2644269;"And he was tough, Ned,"
485;2644303;2646071;"a true ranger."
486;2646105;2649575;"Pfft.
He was talking madness."
487;2650744;2652979;"Said the Walkers
slaughtered his friends."
488;2653013;2655581;"The two he was with
are still missing."
489;2657250;2660419;"Hmph.
A wildling ambush."
490;2660453;2662087;"Maybe."
491;2662121;2665657;"Direwolves
south of the wall,"
492;2665692;2668193;"talk of The Walkers,"
493;2668227;2670829;"and my brother might be
the next Hand of the King."
494;2670863;2674132;"Winter <i>is</i> coming."
495;2675635;2677535;"Winter is coming."
496;2677570;2679037;"( Chuckles )"
497;2679071;2682006;"- Uncle Benjen.
- Robb boy."
498;2682040;2683641;"- How are you?
- I'm good."
